title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Borah Foundation Peace Walk: Weeping White Mulberry","","1997","","peace; trees","University of Idaho Arboretum","","","","1997_WeepingWhiteMulberry_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/1997_weepingwhitemulberry_01_th.jpg","/1997_weepingwhitemulberry_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima050.html"
"Borah Foundation Peace Walk: Columnar European Aspen","","1998","","peace; trees","University of Idaho Arboretum","","","","1998_ColumnarEuropeanAspen_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/1998_columnareuropeanaspen_01_th.jpg","/1998_columnareuropeanaspen_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima051.html"
"Borah Foundation Peace Walk: Cucumber Tree","","1998","","peace; trees","University of Idaho Arboretum","","","","1998_CucumberTree_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/1998_cucumbertree_01_th.jpg","/1998_cucumbertree_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima052.html"
"Borah Foundation Peace Walk: Giant Dogwood","","2000","","peace; trees","University of Idaho Arboretum","","","","2000_GiantDogwood_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/2000_giantdogwood_01_th.jpg","/2000_giantdogwood_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima053.html"
"Borah Foundation Peace Walk: Colorado Spruce","","2002","","peace; trees","University of Idaho Arboretum","","","","2002_ColoradoSpruce_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/2002_coloradospruce_01_th.jpg","/2002_coloradospruce_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima054.html"
"Letter from President Dale to University of California, Berkley&#39;s President Sproul","Dale, Harrison C.","3/18/1942","President Dale informs President Sproul that the University of Idaho would be willing to accept a limited number of Japanese-American student transfers from University of California, Berkley.","correspondence; university; japanese students; relocation","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_01_th.jpg","/ug12_box43_folder1344_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima055.html"
"The Six Japanese Students","","","This newspaper article responds to the six japanese students brought to Moscow. It discusses an Argonaut article (Six American Citizens�) and the legality of denying Japanese-American citizens the ability to enroll at the university.","newspaper clippings; racial discrimination; racism; japanese students; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_02","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_02_th.jpg","/ug12_box43_folder1344_02.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima056.html"
"Letter from University of California, Berkley&#39;s President Sproul to President Dale","Sproul, Robert G.","3/13/1942","President Sproul inquires if the University of Idaho would accept Japanese-American students that were being forced to relocate away from the University of California, Berkley.","correspondence; japanese students; relocation; university","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_03","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_03_th.jpg","/ug12_box43_folder1344_03.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima057.html"
"Letter from James B. Hughes to President Dale","Hughes, James B.","4/18/1942","Pastor Hughes from First Baptist Church in Coeur d&#39;Alene, Idaho encourages President Dale to allow Japanese students to relocate to the University of Idaho.","correspondence; japanese students; university; relocation; religious leaders; anti-racism","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_04","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_04_th.jpg","/ug12_box43_folder1344_04.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima058.html"
"Letter from University of California, Berkley&#39;s President Sproul to US Vice-President Henry A. Wallace","Sproul, Robert G.","5/1/1942","President Sproul notifies Vice-President Wallace of a proposal for how to address Japanese American citizens who were being removed from univesities along the West Coast.","correspondence; relocation; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_05","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_05_th.jpg","/ug12_box43_folder1344_05.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima059.html"
"Evacuees Not At All Bitter","Spokesman-Review","4/12/1942","Sub-headed &#39;American Japanese to Be Evacuated From Coast; Declares Loyalty.&#39; This article relates the feelings of Tom Hirashima a Japanese American being relocated from Santa Barbara.","newspaper clippings; japanese americans; relocation","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_07","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_07_th.jpg","/ug12_box43_folder1344_07.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima060.html"
"The Japanese Evacuation: Looking Backward and Forward","The Living Church","4/12/1942","Article in a religious magazine about the relocation of Japanese citizens and how readers can help.","religious leaders; relocation; japanese americans","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_08","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_08_th.jpg","/ug12_box43_folder1344_08.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima061.html"
"Our Closed Door","University Argonaut","4/10/1942","Article written by K.C. on the University of Idaho&#39;s policy to not allow Japanese American students to transfer from out-of-state instutitions due to forced relocation.","newspaper clippings; university; japanese students; moscow; anti-racism","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_09","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_09_th.jpg","/ug12_box43_folder1344_09.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima062.html"
"Letter from Asher B. Wilson to President Dale","Wilson, Asher B.","4/6/1942","Wilson urges President Dale to only allow Japanese students who are Idaho citizens into the university, at least until the Board of Regents meets to make an order.","correspondence; university; japanese students; discrimination","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_10","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_10_th.jpg","/ug12_box43_folder1344_10.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima063.html"
"Letter from L.P. Sieg to President Dale","Sieg, L.P.","4/13/1942","President Sieg assures President Dale that the six Japanese students sent to Moscow were sent before they had received word that the University of Idaho would not accept them.","correspondence; japanese students; relocation; military; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_11","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_11_th.jpg","/ug12_box43_folder1344_11.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima064.html"
"Letter from President Dale to Asher B. Wilson","Dale, Harrison C.","4/21/1942","President Dale responds to Asher B. Wilson detailing the events that led to six Japanese students coming to Moscow.","correspondence; japanese students; relocation; Wartime Civil Control Administration; military; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_12","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_12_th.jpg","/ug12_box43_folder1344_12.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima065.html"
"Letter from Robert W. O&#39;Brien to Professor Paul K. Hatt","O&#39;Brien, Robert W.","4/20/1942","Robert W. O&#39;Brien from University of Washington discusses moving the six Japanese students sent to Moscow to Pullman.","correspondence; War Civilian Control Authorities; military; japanese students; relocation; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_13","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_13_th.jpg","/ug12_box43_folder1344_13.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima066.html"
"Statement on the University of Idaho&#39;s Stance on Allowing Out-of-State Japanese American Students","","","States that the University of Idaho had not changed it&#39;s policy regarding out-of-state Japanese American students. It addresses the six former University of Washington students that had been sent to Moscow and the plans for removing them to another state.","university; relocation; japanese students; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_14","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_14_th.jpg","/ug12_box43_folder1344_14.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima067.html"
"Nisei Sent Here to be Taken Out","Idahonian","4/23/1942","Article on R.W. O&#39;Brien&#39;s trip to Moscow to discuss with President Dale the removal of six Japanese American students who had been sent to Moscow.","newspaper clippings; japanese students; relocation; university; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_15","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_15_th.jpg","/ug12_box43_folder1344_15.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima068.html"
"Six Nisei Students Come Here to Continue Studies","Idahonian","4/15/1942","Article details the arrival of six Japanese American students from the University of Washington in Moscow.","newspaper clippings; japanese students; relocation; university; moscow","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_16","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_16_th.jpg","/ug12_box43_folder1344_16.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima069.html"
"Letter from President Dale to Governor Clark","Dale, Harrison C.","4/23/1942","Letter to Governor Clark addressing mis-represented facts in a Spokesman-Review article where the governor was interviewed.","correspondence; japanese students; moscow; university","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_17","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_17_th.jpg","/ug12_box43_folder1344_17.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima070.html"
"Letter from Governor Clark to President Dale","Clark, Chase A.","4/24/1942","Letter to President Dale detailing the Governor&#39;s desire that those with Japanese ancestry should not be allowed to relocate and settle in the State of Idaho, but be &quot;brought here under proper guard.&quot; He also states that Japanese Americans should put aside their education for the duration of the war and put themselves to work on something that would help win the war.","correspondence; racism; relocation; japanese americans; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_18","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_18_th.jpg","/ug12_box43_folder1344_18.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima071.html"
"Public Proclamation No. 3","DeWitt, John L.","3/24/1942","Proclamation by General J.L. DeWitt establishing regulations over all with Japanese ancestry within the Military Areas established by Public Proclamations Nos. 1 and 2. This proclamation established curfews and limited their movements. It also probihibited the possession of firearms, bombs, radio transmitting sets, cameras, and other items. This proclamation did not solely apply to those of Japanese ancestry, but also alien Germans and Italians.","military; proclamations","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_19","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_19_th.jpg","/ug12_box43_folder1344_19.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima072.html"
"Six American Citizens","University Argonaut","4/24/1942","Article written by K.C. on the removal of six Japanese students from Moscow.","newspaper clippings; university; japanese students; relocation; anti-racism","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_20","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_20_th.jpg","/ug12_box43_folder1344_20.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima073.html"
"An Open Letter to Governor Clark","","5/6/1942","Open letter to Governor Clark printed in Washington State Evergreen. The letter criticizes Governor Clark&#39;s attitude and actions towards those of Japanese ancestry being relocated to Idaho, particularly the treatment of those who had been relocated to Moscow.","correspondence; university; moscow; racism; anti-racism; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_22","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_22_th.jpg","/ug12_box43_folder1344_22.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima074.html"
"Letter from Representative Don C.D. Moore to President Dale","Moore, Don C.D.","5/9/1942","Letter questioning the decision to not allow non-resident Japanese American students to enroll in the University of Idaho.","correspondence; anti-racism","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_23","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_23_th.jpg","/ug12_box43_folder1344_23.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima075.html"
"Letter from Representative Don C.D. Moore to President Dale","Moore, Don C.D.","5/17/1942","Letter addressing the university&#39;s policy to not allow &quot;out-of-state&quot; Japanese American students to the University of Idaho. He states that the university of Idaho may have the authority to ban all &quot;out-of-state&quot; students from attending the university, to limit it to just Japanese &quot;out-of-state&quot; students is discriminatory and against not only the state constitution, but the 14th Amendment of the US Consititution.","correspondence; anti-racism; discrimination","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box43_Folder1344_24","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box43_folder1344_24_th.jpg","/ug12_box43_folder1344_24.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima076.html"
"Letter from Japanese American Citizens League to the University of Idaho","Japanese American Citizens League","10/21/1941","The Japanese American Citizens League requests a message from the University of Idaho President to include in an upcoming publication of The Pacific Citizen.","correspondence; national organizations; university","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_01_th.jpg","/ug12_box48_folder1468_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima077.html"
"Letter from President Dale to E.J. Baldwin","Dale, Harrison C.","7/13/1943","Letter regarding the possible acceptance of a Japanese American student to the University of Idaho-Southern branch.","correspondence; university; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_02","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_02_th.jpg","/ug12_box48_folder1468_02.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima078.html"
"Letter from Allan C. Lemon to Student Relocation Counsellor Haru Tanabe","Lemon, Allan C.","7/17/1943","Letter informing Haru Tanabe that President Dale and the Board of Regents were receiving further consideration.","correspondence; japanese students; university; relocation","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_03","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_03_th.jpg","/ug12_box48_folder1468_03.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima079.html"
"Letter from Student Relocation Counsellor Haru Tanabe to Allan C. Lemon","Tanabe, Haru","7/13/1943","Letter from Haru Tanabe inquiring whether the University of Idaho would accept a Japanese American student who was interested in taking forestry classes.","correspondence; university; relocation; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_04","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_04_th.jpg","/ug12_box48_folder1468_04.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima080.html"
"Letter from Frank N. Freeman to J.F. Messenger","Freeman, Frank N.","2/16/1943","Letter from the University of California, Berkeley Dean of the School of Educating informing the J.F. Messenger at the University of Idaho that they have a plan to allow Japanese students to work in education and practice teaching at the Relocation Centers.","correspondence; japanese students; university","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_05","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_05_th.jpg","/ug12_box48_folder1468_05.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima081.html"
"Letter from President Dale to Student Relocation Counsellor Haru Tanabe","Dale, Harrison C.","8/24/1943","Response to letter Haru Tanabe regarding the admittance of relocated Japanese American students.","correspondence; university; relocation; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_06","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_06_th.jpg","/ug12_box48_folder1468_06.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima082.html"
"Letter from State Superintendent of Public Instruction C.E. Roberts to President Dale","Roberts, C.E.","8/21/1943","Letter stating that the Board of Regents of the University of Idaho has voted to not allow non-resident Japanese Americans to enroll in on-campus or correspondence courses.","correspondence; discrimination; university; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_07","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_07_th.jpg","/ug12_box48_folder1468_07.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima083.html"
"Letter from President Dale to Commander Rex Gross","Dale, Harrison C.","1/19/1944","Response to letter from Commander Gross of the American Legion in Potlatch, Idaho about the treatment of Japanese American students at the University of Idaho.","correspondence; moscow; racism; discrimination; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_08","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_08_th.jpg","/ug12_box48_folder1468_08.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima084.html"
"Letter from Commander Rex Gross to President Dale","Gross, Rex","1/17/1944","Letter from Commander Gross of the American Legion in Potlatch , Idaho expressing concern over the attitudes expressed by some people in Moscow towards Japanese students at the University of Idaho.","correspondence; moscow; racism; discrimination; japanese students","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_09","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_09_th.jpg","/ug12_box48_folder1468_09.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima085.html"
"Letter from Acting Dean Baldwin to the Edward V. Berman at the War Relocation Authority","Baldwin, Ernest J.","8/25/1943","Letter to the War Relocation Authority informing them that the University of Idaho-Southern Branch was unable to accept Japanese-American students at the time. Baldwin also notes that with the addition of the Navy&#39;s V-12 officer training school at the branch there has been some prejudice against enrolled Japanese American students.","correspondence; war relocation authority; discrimination; military; japanese americans; japanese students; university","","","","UG 12, University of Idaho Presdient&#39;s Office. Records, University of Idaho Library Special Collections and Archives","UG12_Box48_Folder1468_10","image;stillimage","application/pdf","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug12_box48_folder1468_10_th.jpg","/ug12_box48_folder1468_10.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima086.html"
"University Makes No Change in Jap Policy","University Argonaut","4/24/1942","Article on the how six Japanese-American students were brought to Moscow and the University&#39;s stance.","newspaper clippings;  students; university; relocation","","","","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/argonaut_1942-04-24_pg1_th.jpg","/argonaut_1942-04-24_pg1.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima087.html"
"Group Hears Martin Tell Slap-A-Jap Club&#39;s Idea","University Argonaut","11/5/1942","Article on the formation and plans of the &quot;Slap-a-Jap&quot; Club as a war fundraiser for students.","newspaper clippings; racism; racist language; university; clubs (associations); students","","","","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/argonaut_1942-11-05-pg1_th.jpg","/argonaut_1942-11-05-pg1.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima088.html"
"Letter To The Editor","University Argonaut","11/19/1942","Letter to the Editor by Mrs. M.H.G. criticizing the name of the &quot;Slap-a-Jap&quot; Club.","newspaper clippings; racist language; clubs (associations)","","","","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/argonaut_1942-11-19-pg2_01_th.jpg","/argonaut_1942-11-19-pg2_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima089.html"
